Date,Product_Code,Warehouse,Product_Category,sales,day,month,year,dayofweek,is_weekend,prod_sales_mean,Warehouse_le,Product_Category_le,lag_1,lag_7,lag_14,lag_28,rmean_7,rmean_28,rstd_7,rstd_28,rmin_7,rmax_7,trend,sales_log
2016-05-02,Product_0016,Whse_J,Category_005,3500,2,5,2016,0,0,3369.7368421052633,2,2,3300.0,500.0,8500.0,5000.0,2671.4285714285716,2657.1428571428573,2646.20123051535,2453.0296568436543,500.0,8200.0,28,8.160803920954665
2016-05-02,Product_1274,Whse_J,Category_019,226000,2,5,2016,0,0,77223.5294117647,2,16,182000.0,11000.0,180000.0,43000.0,81428.57142857143,91071.42857142857,85745.47051760642,76641.0240070327,9000.0,182000.0,28,12.328294703023394
2016-05-02,Product_1016,Whse_J,Category_007,100,2,5,2016,0,0,45583.67346938775,2,4,800.0,1100.0,1200.0,800.0,16100.0,40492.857142857145,37589.892258425,74694.42900824481,800.0,101300.0,28,4.61512051684126
2016-05-02,Product_1248,Whse_J,Category_019,151000,2,5,2016,0,0,242678.57142857142,2,16,104000.0,481000.0,50000.0,175000.0,251571.42857142858,229535.7142857143,144220.73029775947,209124.00753882976,86000.0,481000.0,28,11.92504173829169
2016-05-02,Product_1359,Whse_J,Category_019,331000,2,5,2016,0,0,427788.23529411765,2,16,479000.0,234000.0,456000.0,525000.0,463857.14285714284,451250.0,388920.05544045876,312766.46417272923,116000.0,1249000.0,28,12.709876675502672
2016-05-02,Product_0608,Whse_J,Category_001,71,2,5,2016,0,0,20.069565217391304,2,0,7.0,17.0,7.0,5.0,14.857142857142858,16.964285714285715,10.976164652381566,21.697383598638222,3.0,32.0,28,4.276666119016055
2016-05-02,Product_1512,Whse_J,Category_019,50000,2,5,2016,0,0,5108.910891089109,2,16,16200.0,2000.0,1000.0,8200.0,7114.285714285715,5553.571428571428,4470.80476403245,4044.5191210618505,2000.0,16200.0,28,10.819798284210286
2016-05-02,Product_1463,Whse_J,Category_019,3300,2,5,2016,0,0,7073.493975903614,2,16,20000.0,18000.0,12900.0,10400.0,9557.142857142857,7850.0,7067.733522343437,5433.333333333334,3000.0,20000.0,28,8.101980731853192
2016-05-02,Product_0620,Whse_J,Category_001,19,2,5,2016,0,0,27.5968992248062,2,0,22.0,32.0,17.0,44.0,28.142857142857142,39.464285714285715,20.202545808458343,32.521767232352914,8.0,58.0,28,2.995732273553991
2016-05-02,Product_1286,Whse_J,Category_019,50100,2,5,2016,0,0,84616.4705882353,2,16,41700.0,102500.0,159200.0,125000.0,67442.85714285714,93957.14285714286,50807.96712927538,54154.05616333645,20000.0,165000.0,28,10.821796246953596
2016-05-02,Product_0613,Whse_J,Category_001,17,2,5,2016,0,0,23.216666666666665,2,0,70.0,12.0,18.0,17.0,25.428571428571427,41.107142857142854,22.471145519362864,40.67699257403041,7.0,70.0,28,2.8903717578961645
2016-05-02,Product_1360,Whse_J,Category_019,3000,2,5,2016,0,0,47903.614457831325,2,16,74000.0,41000.0,21000.0,8000.0,53857.142857142855,57071.42857142857,54599.84301390307,70622.06588932521,5000.0,168000.0,28,8.006700845440367
2016-05-02,Product_1295,Whse_J,Category_019,34000,2,5,2016,0,0,108509.52380952382,2,16,85800.0,254300.0,68000.0,191000.0,111785.71428571429,120907.14285714286,68381.05070294032,74362.4652858298,40300.0,254300.0,28,10.434145214930487
2016-05-02,Product_1381,Whse_J,Category_019,5000,2,5,2016,0,0,22026.829268292684,2,16,15000.0,200.0,15800.0,6000.0,19885.714285714286,24682.14285714286,18798.35352465995,15044.847858650719,200.0,55900.0,28,8.517393171418904
2016-05-02,Product_1377,Whse_J,Category_019,44300,2,5,2016,0,0,48395.294117647056,2,16,36200.0,58100.0,49000.0,74000.0,47742.857142857145,46275.0,14220.508329270702,20195.22541665801,30500.0,70000.0,28,10.698762529141884
2016-05-02,Product_1453,Whse_J,Category_019,50000,2,5,2016,0,0,57382.142857142855,2,16,40900.0,40100.0,58000.0,70100.0,52871.42857142857,56635.71428571428,30421.906267562874,29311.446560531596,7500.0,95000.0,28,10.819798284210286
2016-05-02,Product_1382,Whse_J,Category_019,17000,2,5,2016,0,0,68614.28571428571,2,16,31200.0,156000.0,86000.0,26100.0,75814.28571428571,75346.42857142857,41766.470945461675,41545.75774700092,31200.0,156000.0,28,9.741027444837728
2016-05-02,Product_1401,Whse_J,Category_019,2000,2,5,2016,0,0,2708.3333333333335,2,16,3100.0,3300.0,1400.0,2300.0,6157.142857142857,3289.285714285714,7555.0991925668195,4641.147629924233,100.0,21300.0,28,7.601402334583733
2016-05-02,Product_1294,Whse_J,Category_019,50600,2,5,2016,0,0,60610.58823529412,2,16,42100.0,101400.0,76700.0,111000.0,71028.57142857143,69167.85714285714,36071.998109600856,31772.245675087168,12600.0,122100.0,28,10.831726617926124
2016-05-02,Product_1287,Whse_J,Category_019,21000,2,5,2016,0,0,78309.52380952382,2,16,55800.0,23000.0,66000.0,49000.0,52100.0,67907.14285714286,30182.555668244288,39792.023475504895,13500.0,97000.0,28,9.952325334619427
2016-05-02,Product_1378,Whse_J,Category_019,37000,2,5,2016,0,0,67579.76190476191,2,16,80200.0,117300.0,72000.0,47800.0,76714.28571428571,72932.14285714286,36744.724273081185,31389.335928829554,37000.0,129800.0,28,10.518700218288165
2016-05-04,Product_0613,Whse_J,Category_001,2,4,5,2016,2,0,23.216666666666665,2,0,17.0,14.0,21.0,105.0,26.142857142857142,41.107142857142854,22.048647512780864,40.67699257403041,7.0,70.0,29,1.0986122886681098
